P1SigVar,P1SigCrestFactor,P1SigMAD,P2SigVar,P2SigSkewness,P2SigMAD,P3SigVar,P3SigSkewness,P3SigMAD,PistSigVar,PistSigPeak,PistSigPeak2Peak,PistSigMAD,fault_type
488478551.0,1.000894277,19260.71135,31428800000000.0,-1.374707241,4604464.642,31450800000000.0,-1.373871106,4606760.268,0.022096375,0.441767073,0.441767073,0.122106899,2
255494016.6,1.000675132,13722.08112,28290900000000.0,-1.503933539,4242188.464,28308200000000.0,-1.50326552,4243978.069,0.011323287,0.333333341,0.333333341,0.084879561,1
337241082.8,1.000671176,15444.35325,28560800000000.0,-1.595696099,4213502.271,28578900000000.0,-1.594959267,4215418.084,0.011301041,0.331425158,0.331425158,0.083825729,0
490975581.3,1.000897882,19318.52895,31468800000000.0,-1.371640607,4609864.08,31490900000000.0,-1.370802933,4612169.621,0.022303342,0.443548393,0.443548393,0.122743224,2
251624613.4,1.00067514,13638.69316,28289000000000.0,-1.496567392,4246941.38,28306300000000.0,-1.495904887,4248718.233,0.011322501,0.333333341,0.333333341,0.084974365,1
493494015.1,1.000901516,19376.91292,31509000000000.0,-1.368562223,4615309.43,31531200000000.0,-1.367722999,4617616.945,0.022513052,0.445344134,0.445344134,0.123385716,2
496034406.4,1.000905172,19435.51142,31549400000000.0,-1.365471988,4620751.788,31571600000000.0,-1.364631203,4623059.62,0.02272555,0.447154477,0.447154477,0.124033307,2
498596907.7,1.00090887,19494.3297,31589900000000.0,-1.362369805,4626229.479,31612200000000.0,-1.361527447,4628548.873,0.022940885,0.448979596,0.448979596,0.124687439,2
337285316.9,1.000671237,15445.57621,28561800000000.0,-1.595618066,4213639.138,28579900000000.0,-1.594881203,4215554.979,0.011303706,0.331458445,0.331458445,0.083836871,0
247646041.2,1.000675155,13551.74063,28288300000000.0,-1.488711375,4252092.062,28305500000000.0,-1.488054708,4253860.064,0.011322199,0.333333345,0.333333345,0.085077201,1
330953093.3,1.000675004,15243.81797,28560900000000.0,-1.589770128,4214838.518,28579000000000.0,-1.58903307,4216760.477,0.011431604,0.333333343,0.333333343,0.08433521,1
337329738.7,1.000671276,15446.80362,28562800000000.0,-1.595540026,4213776.007,28580900000000.0,-1.594803132,4215691.876,0.011306373,0.33149173,0.33149173,0.083848015,0
337374083.2,1.000671335,15448.02867,28563800000000.0,-1.59546198,4213912.872,28581900000000.0,-1.594725054,4215828.77,0.01130904,0.33152503,0.33152503,0.083859162,0
