PistonPositionCSR,P1Var,P2CSR,P3CSR,FaultType
273.751868698406,337640521.274952,13755638854.8717,13753957524.3018,0
273.776467663278,337685029.711698,13755492226.1887,13753810726.4981,0
267.323245121897,226225908.089675,13367851733.7187,13366162256.0949,1
273.801070908693,337729385.807821,13755345563.8272,13753663895.2417,0
362.821587461522,509073402.543323,13250797529.8012,13248485239.1252,2
364.137117670264,511750555.989846,13243671646.0835,13241349733.4642,2
274.637123059784,330054558.974076,13733545626.2694,13731856152.9892,1
365.462418996332,514451504.509312,13236501030.4317,13234169415.1702,2
273.825678830035,337773812.188163,13755198888.0646,13753517050.3268,0
366.797601573305,517176548.193427,13229285213.7763,13226943814.3101,2
266.814151851402,221633504.136345,13342397069.8962,13340707592.5701,1
273.850291197341,337818334.514201,13755052186.4062,13753370180.1331,0
368.142777149676,519926056.266869,13222023718.8377,13219672452.1929,2
273.874908166415,337862843.389586,13754905467.6948,13753223292.4175,0
266.273613272595,216940293.404422,13315370139.718,13313680663.6297,1
369.498059134006,522700216.486207,13214716059.3499,13212354841.7614,2
265.699257524056,212145640.711292,13286652354.1006,13284962876.2028,1
306.542475475304,398376294.344211,13564091194.8888,13562182248.3013,2
265.089207060358,207249904.042029,13256149828.0155,13254460353.0179,1
370.863562812465,525499398.924942,13207361746.4606,13204990494.0802,2
273.899529419016,337907183.713696,13754758715.577,13753076371.1306,0
264.440642337406,202255222.160195,13223721595.6806,13222032116.8703,1
263.751355172785,197159539.102181,13189257234.1356,13187567758.6392,1
372.239405113882,528323928.003508,13199960281.8148,13197578908.5831,2
273.924155485957,337951815.250504,13754611955.7948,13752929442.8581,0
273.948785875869,337996261.9111,13754465164.5551,13752782482.8593,0
373.625704865016,531174105.698031,13192511162.0829,13190119580.8407,2
263.018106409544,191967523.382481,13152594799.8058,13150905320.4772,1
307.474664768615,400145546.120296,13558752988.8398,13556837492.0707,2
262.2381680022,186675094.662297,13113597875.5015,13111908400.11,1
273.973420779763,338040813.208284,13754318351.419,13752635500.6569,0
273.998060166763,338085243.539567,13754171514.1353,13752488494.6328,0
375.022582518093,534050261.341575,13185013868.3938,13182611991.5451,2
274.022704215007,338129825.572825,13754024662.5374,13752341473.6592,0
274.047352592125,338174308.229078,13753877778.6803,13752194420.9867,0
261.407819063068,181288924.818817,13072080433.725,13070390953.1534,1
274.07200564738,338218920.502246,13753730881.4813,13752047354.0744,0
376.43016058261,536952686.52067,13177467881.9423,13175055620.3913,2
274.096663199972,338263503.258146,13753583960.0712,13751900263.7804,0
308.412653158055,401928041.537963,13553387155.0997,13551465063.0054,2
274.121325182346,338308007.245552,13753437012.2444,13751753146.6477,0
377.848563453663,539881774.511989,13169872675.4585,13167449938.5367,2
260.523689968293,175803557.435292,13027873973.162,13026184498.4147,1
274.145991797871,338352625.158138,13753290047.6238,13751606012.8104,0
259.581456633689,170227184.454768,12980762313.2864,12979072831.6845,1
379.277917433459,542837931.830313,13162227711.2005,13159794407.9185,2
380.718350722313,545821330.660548,13154532442.0606,13152088479.4981,2
274.17066290623,338397284.493563,13753143059.1025,13751458855.1605,0
382.169993613601,548832462.538917,13146786315.2785,13144331598.5284,2
258.576950007646,164552994.040616,12930536975.1517,12928847500.3823,1
274.791029905006,334601148.481998,13741240969.3097,13739551495.2503,1
309.356495578594,403724022.979417,13547993462.5444,13546064730.6384,2
257.505081882179,158790923.659521,12876943576.9738,12875254094.1089,1
256.360663421965,152932826.941561,12819722646.0693,12818033171.0982,1
255.137643260443,146989341.261112,12758571644.684,12756882163.0222,1
274.195338534997,338441851.23122,13752996047.8013,13751311675.0127,0
253.829537127412,140953399.301711,12693166332.6557,12691476856.3706,1
274.220018727894,338486497.582117,13752849017.5309,13751164474.4912,0
383.63297848008,551871618.099277,13138988767.6816,13136523202.4997,2
385.107439818384,554939300.164551,13131139230.7412,13128662721.0813,2
252.429075825728,134833849.509295,12623143271.6889,12621453791.2864,1
274.244703374937,338531123.929096,13752701960.1165,13751017248.012,0
310.306247297916,405533606.00318,13542571664.7571,13540636245.7272,2
250.928049183174,128626084.577469,12548091936.1553,12546402459.1587,1
249.317589959251,122336633.841236,12467568976.9866,12465879497.9625,1
247.587251654704,115963351.348042,12381052060.6091,12379362582.7352,1
274.269392537035,338575723.228312,13752554880.3592,13750869998.5614,0
274.294086271779,338620368.211924,13752407779.3934,13750722728.9579,0
274.318784457404,338664943.483801,13752260653.67,13750575433.029,0
274.343487377422,338709711.31124,13752113514.9586,13750428124.9168,0
274.368194659448,338754444.255854,13751966344.961,13750280785.8874,0
386.593514065316,558035654.577022,13123237121.145,13120749568.2774,2
